sent_pos,sent_neg,sent_neu,sent_compound,sent_pos_tokenized,sent_neg_tokenized,sent_neu_tokenized,sent_compound_tokenized
0.14,0.063,0.796,0.3167,0.11420000000000001,0.0692,0.8166,0.058499999999999996
0.056,0.009,0.936,0.7647,0.096,0.008444444444444444,0.8955555555555557,0.15292222222222224
0.114,0.041,0.845,0.802,0.11666666666666667,0.03777777777777777,0.8455555555555556,0.11008888888888888
0.07,0.065,0.864,-0.1166,0.031,0.08875,0.88025,0.02687500000000001
0.019,0.052,0.929,-0.5719,0.009384615384615384,0.0886923076923077,0.901923076923077,-0.04725384615384615
0.226,0.027,0.747,0.9824,0.23038461538461538,0.014461538461538461,0.7552307692307692,0.31056923076923076
0.182,0.105,0.713,0.8271,0.1862857142857143,0.055714285714285716,0.7579999999999999,0.07555714285714286
0.09,0.076,0.834,0.2709,0.07311111111111111,0.1298888888888889,0.797,-0.017055555555555563
0.182,0.027,0.791,0.956,0.24,0.015,0.7445,0.6759
0.011,0.082,0.906,-0.8858,0.0043,0.082,0.9137000000000001,-0.13426
0.139,0.0,0.861,0.5719,0.173,0.0,0.827,0.28595
0.226,0.023,0.751,0.9951,0.1930909090909091,0.029045454545454544,0.7778636363636363,0.2882863636363636
0.267,0.044,0.689,0.979,0.2775,0.021,0.7015,0.6741999999999999
0.029,0.183,0.788,-0.9181,0.0258,0.20099999999999998,0.7731999999999999,-0.24359999999999998
0.147,0.031,0.821,0.8832,0.15175,0.016,0.8322499999999999,0.245575
0.069,0.039,0.892,0.8276,0.06663636363636362,0.07736363636363636,0.856,0.05088181818181819
0.071,0.227,0.702,-0.9034,0.056666666666666664,0.26300000000000007,0.6803333333333333,-0.2989
0.078,0.056,0.866,0.4366,0.033857142857142856,0.05242857142857143,0.9137142857142857,0.0008571428571428579
0.191,0.0,0.809,0.9724,0.191,0.0,0.809,0.39399999999999996
0.16,0.086,0.753,0.838,0.2071111111111111,0.08022222222222222,0.7126666666666667,0.1667888888888889
0.206,0.044,0.749,0.9011,0.23933333333333331,0.017333333333333333,0.7433333333333333,0.34251666666666664
0.103,0.047,0.849,0.9546,0.09461538461538462,0.03330769230769231,0.8721538461538461,0.1673846153846154
0.013,0.12,0.867,-0.8479,0.013857142857142858,0.19757142857142856,0.7885714285714286,-0.20552857142857142
0.203,0.124,0.672,0.5902,0.31179999999999997,0.0774,0.6108,0.16384
0.247,0.0,0.753,0.9582,0.20325,0.0,0.79675,0.496075
0.0,0.163,0.837,-0.8885,0.0,0.1632,0.8367999999999999,-0.30148
0.033,0.089,0.879,-0.7725,0.025222222222222222,0.06911111111111111,0.9056666666666666,-0.1125888888888889
0.185,0.0,0.815,0.9513,0.207,0.0,0.793,0.31221666666666664
0.151,0.007,0.842,0.9898,0.13340000000000002,0.0041,0.8625,0.40336
0.07,0.089,0.84,-0.7511,0.05615384615384615,0.09938461538461539,0.8444615384615386,-0.10493076923076924
0.051,0.139,0.811,-0.8823,0.02854545454545454,0.1550909090909091,0.8163636363636364,-0.1587727272727273
0.367,0.0,0.633,0.963,0.2954,0.0,0.7046,0.38750000000000007
0.261,0.029,0.711,0.9871,0.20858333333333334,0.034749999999999996,0.7566666666666668,0.3385916666666666
0.216,0.024,0.76,0.8981,0.14214285714285715,0.061285714285714284,0.7965714285714286,0.19245714285714285
0.04,0.069,0.89,-0.09,0.022,0.038,0.94,-0.045
0.168,0.072,0.76,0.765,0.2198571428571429,0.037,0.7430000000000001,0.14962857142857142
0.279,0.062,0.659,0.9659,0.27999999999999997,0.0638,0.6561999999999999,0.48991999999999997
0.041,0.065,0.894,-0.1531,0.0298,0.05920000000000001,0.9109999999999999,-0.028000000000000004
0.084,0.0,0.916,0.4939,0.0715,0.0,0.9285,0.123475
0.0,0.333,0.667,-0.8748,0.0,0.30400000000000005,0.696,-0.3731
0.072,0.054,0.873,0.6324,0.10142857142857142,0.027000000000000003,0.8717142857142858,0.11024285714285713
0.151,0.028,0.821,0.7518,0.18433333333333332,0.024999999999999998,0.7906666666666666,0.4457
0.089,0.047,0.864,0.9135,0.09758823529411764,0.09482352941176471,0.8075882352941178,0.1021529411764706
0.053,0.023,0.924,0.2365,0.07457142857142855,0.017714285714285714,0.9077142857142857,0.11182857142857142
0.117,0.078,0.805,0.8399,0.06415384615384614,0.09115384615384614,0.844846153846154,0.03486923076923078
0.408,0.0,0.592,0.9745,0.4295,0.0,0.5705,0.718075
0.257,0.043,0.7,0.9952,0.1556666666666667,0.026444444444444448,0.817888888888889,0.4195555555555555
0.195,0.04,0.765,0.9448,0.15816666666666668,0.030166666666666665,0.8116666666666665,0.29886666666666667
0.598,0.0,0.402,0.9313,0.414,0.0,0.586,0.44683333333333336
0.411,0.0,0.589,0.8967,0.1505,0.125,0.7245,0.06970000000000001
0.128,0.04,0.831,0.8829,0.12225,0.04425,0.8335,0.34797500000000003
0.033,0.125,0.842,-0.9596,0.03266666666666667,0.09108333333333334,0.8762499999999999,-0.16475
0.105,0.124,0.771,0.0387,0.0644,0.1052,0.8304,-0.08803999999999998
0.278,0.031,0.691,0.9373,0.2925,0.02375,0.68375,0.4959
0.038,0.144,0.818,-0.8373,0.03375,0.198,0.7682499999999999,-0.34145000000000003
0.199,0.041,0.759,0.9865,0.1744705882352941,0.04699999999999999,0.7785294117647059,0.2255235294117647
0.212,0.098,0.69,0.8854,0.2985,0.0625,0.639,0.2512166666666667
0.045,0.1,0.856,-0.4404,0.0628,0.0908,0.8464,-0.09707999999999999
0.467,0.0,0.533,0.9313,0.38999999999999996,0.0,0.61,0.44683333333333336
0.037,0.118,0.846,-0.9829,0.029937500000000002,0.06399999999999999,0.9061249999999998,-0.1504375
0.12,0.0,0.88,0.9069,0.07725,0.0,0.92275,0.29525
0.106,0.15,0.744,-0.3612,0.07780000000000001,0.1778,0.7444000000000001,-0.09008000000000001
0.133,0.019,0.848,0.943,0.18177777777777776,0.010444444444444444,0.8077777777777778,0.24660000000000004
0.129,0.064,0.807,0.9627,0.10618181818181817,0.05109090909090908,0.8426363636363635,0.10139090909090909
0.416,0.034,0.551,0.9702,0.38,0.06025,0.55975,0.5461
0.248,0.083,0.669,0.9599,0.25785714285714284,0.07371428571428572,0.6682857142857143,0.38957142857142857
0.056,0.087,0.857,-0.1787,0.05600000000000001,0.1142,0.8300000000000001,-0.03686000000000001
0.221,0.099,0.68,0.9563,0.2502,0.0396,0.7104000000000001,0.4344
0.092,0.072,0.836,0.8972,0.05578947368421053,0.10326315789473683,0.8408947368421054,-0.0013263157894736841
0.125,0.055,0.82,0.6542,0.05042857142857143,0.01742857142857143,0.9321428571428572,0.09824285714285715
0.056,0.035,0.909,0.5429,0.060222222222222226,0.06333333333333334,0.8764444444444445,0.0870111111111111
0.172,0.085,0.744,0.9768,0.1848125,0.052875000000000005,0.7623125,0.1881375
0.281,0.082,0.637,0.6486,0.3303333333333333,0.042,0.6276666666666667,0.25756666666666667
0.118,0.171,0.711,-0.5759,0.07925,0.093,0.8280000000000001,-0.10402499999999999
0.026,0.187,0.787,-0.902,0.0,0.25179999999999997,0.7482,-0.36690000000000006
0.195,0.061,0.744,0.7964,0.317,0.052,0.631,0.2822666666666667
0.052,0.091,0.857,-0.4437,0.0445,0.085,0.8704999999999999,-0.015500000000000007
0.162,0.038,0.8,0.9827,0.10536363636363634,0.03127272727272728,0.8632727272727273,0.2296909090909091
0.103,0.053,0.845,0.6705,0.0898,0.0588,0.8513999999999999,0.14916000000000001
0.168,0.036,0.796,0.9226,0.12833333333333333,0.014,0.8576666666666667,0.3027166666666667
0.106,0.058,0.836,0.9549,0.11913043478260867,0.05691304347826086,0.8239565217391303,0.1835217391304348
0.193,0.096,0.71,0.9259,0.14509999999999998,0.059699999999999996,0.7952,0.17793
0.287,0.08,0.633,0.9148,0.24220000000000003,0.09240000000000001,0.6654000000000001,0.32794
0.116,0.091,0.793,0.7679,0.052,0.06233333333333333,0.8856666666666667,0.020858333333333336
0.089,0.099,0.812,0.1761,0.07922222222222222,0.06322222222222222,0.8575555555555555,0.018188888888888897
0.118,0.0,0.882,0.7424,0.1875,0.0,0.8125,0.3592
0.19,0.0,0.81,0.8766,0.1435,0.0,0.8565,0.4383
0.076,0.082,0.843,-0.0753,0.084625,0.09487499999999999,0.8205,-0.019950000000000002
0.17,0.02,0.809,0.9442,0.19624999999999998,0.01475,0.7889999999999999,0.364975
0.117,0.148,0.735,-0.3954,0.075625,0.1605,0.763875,-0.06977499999999999
0.165,0.062,0.773,0.9566,0.19066666666666665,0.07433333333333333,0.7349999999999999,0.24887777777777778
0.178,0.068,0.754,0.6597,0.183,0.076,0.741,0.3994
0.14,0.037,0.823,0.8969,0.0898,0.0546,0.8555999999999999,0.06283
0.147,0.131,0.722,0.6789,0.085625,0.16793750000000002,0.746375,-0.08738749999999998
0.211,0.072,0.717,0.967,0.17475,0.09816666666666667,0.7270833333333333,0.18881666666666663
